qasm_file,qasm_path,depth_key,instance_key,n_qubits,ideal_Z_all_expectation,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming
xeb_d01_c000.qasm,data/circuits/xeb_d01_c000.qasm,d01,c000,10,-3.5561831257524545e-17,9.137626250665717,2.4609374999999973,1011001111,0.0048940286977583,5.603553390593266
xeb_d01_c001.qasm,data/circuits/xeb_d01_c001.qasm,d01,c001,10,1.3877787807814457e-17,7.017410381309122,21.357421874999982,1101111001,0.0618893775702364,7.164213562373096
xeb_d01_c002.qasm,data/circuits/xeb_d01_c002.qasm,d01,c002,10,9.107298248878237e-18,9.201752073385707,2.249999999999998,10110,0.0028459116820049,4.9999999999999964
xeb_d01_c003.qasm,data/circuits/xeb_d01_c003.qasm,d01,c003,10,-1.5612511283791264e-17,8.192704421323624,6.328124999999995,1101110111,0.0138633474725248,6.103553390593286
xeb_d01_c004.qasm,data/circuits/xeb_d01_c004.qasm,d01,c004,10,1.0856421284958369e-17,8.688578720839438,3.867187499999997,110010,0.0083293479877646,5.603553390593275
xeb_d01_c005.qasm,data/circuits/xeb_d01_c005.qasm,d01,c005,10,6.938893903907228e-18,8.382908387613071,4.640624999999993,1111010001,0.0105500984950186,5.707106781186546
xeb_d01_c006.qasm,data/circuits/xeb_d01_c006.qasm,d01,c006,10,-2.4286128663675302e-17,8.327025580426263,5.484374999999995,100111010,0.0121456878275217,5.957106781186548
xeb_d01_c007.qasm,data/circuits/xeb_d01_c007.qasm,d01,c007,10,-1.734723475976807e-18,8.214782271230554,6.328124999999995,1101110001,0.0124403916315223,5.957106781186544
xeb_d01_c008.qasm,data/circuits/xeb_d01_c008.qasm,d01,c008,10,-6.938893903907228e-18,8.824308322303974,3.5156249999999942,111110110,0.0064033012845111,5.603553390593274
xeb_d01_c009.qasm,data/circuits/xeb_d01_c009.qasm,d01,c009,10,1.214306433183765e-17,7.903504146771421,7.593749999999991,110010111,0.0165871888420298,6.310660171779824
xeb_d01_c010.qasm,data/circuits/xeb_d01_c010.qasm,d01,c010,10,3.482999479109683e-18,9.201752073385707,2.2499999999999973,101001010,0.0028459116820049,5.707106781186551
