idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index_ideal,true_label_ideal,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,ideal_prediction_matches_label,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction
0,vqc-ibm_kingston_00,ibm_kingston,d7njv3s97osc73ds5nk0,2026-04-27T10:50:55.88709Z,1024,142,0.224609375,0.224609375,1.0,5.302979983018988,4.7763671875,0.7744140625,63.49609375,0.6123046875,1001110000,0,1.0,0,1.0,0.2751950107936259,1,5.17443871862778,74.25114174898701,111001,0.179845673571171,4.794584155699781,True,True,-0.050585635793625905,0.12854126439120783,-10.75504799898701,True,True
2,vqc_ibm_kingston_02,ibm_kingston,d7nk2fu2jamc73boj540,2026-04-27T10:58:07.710925Z,1024,117,0.3046875,0.3046875,1.0,4.632552683489555,6.302734375,0.625,106.3671875,0.65234375,1110110010,2,1.0,2,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,True,True,-0.07864226078693709,0.16186728459742206,-13.052981513187646,True,True
3,vqc_ibm_kingston_03,ibm_kingston,d7nk34qk4prs73dscnfg,2026-04-27T10:59:31.60822Z,1024,145,0.248046875,0.248046875,1.0,5.3081147425865955,3.5185546875,0.5166015625,65.1875,0.6240234375,1100011,3,1.0,3,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,True,True,-0.11708387464291709,0.43457596800347087,-28.99603750373504,True,True
4,vqc_ibm_kingston_04,ibm_kingston,d7nk3ls97osc73ds5sc0,2026-04-27T11:00:39.774482Z,1024,129,0.162109375,0.162109375,1.0,4.958436492963306,5.0654296875,0.814453125,80.328125,0.5810546875,1001110000,4,1.0,4,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,True,True,-0.034449253677748204,0.15238876412401137,-14.24211014073768,True,True
5,vqc_ibm_kingston_05,ibm_kingston,d7nkorc97osc73ds6il0,2026-04-27T11:45:49.559754Z,1024,136,0.140625,0.140625,1.0,5.092892939877972,5.0625,0.771484375,73.779296875,0.5703125,1001110011,5,1.0,5,1.0,0.419941945724004,1,4.236196265285288,132.61543048039448,1111111111,0.2580189822853257,7.268996709084359,True,True,-0.279316945724004,0.8566966745926843,-58.83613360539448,True,True
7,vqc_ibm_kingston_07,ibm_kingston,d7nkq2q94dqs73ev6slg,2026-04-27T11:48:27.173505Z,1024,116,0.361328125,0.361328125,1.0,4.586488668984657,7.2392578125,0.3544921875,108.044921875,0.6806640625,1111111111,7,1.0,7,1.0,0.2656778473605019,1,6.059938212953119,38.67174416299535,1011110111,0.093567936884009,6.454209722402489,True,True,0.09565027763949813,-1.4734495439684618,69.37317771200465,True,True
8,vqc_ibm_kingston_08,ibm_kingston,d7nld9294dqs73ev7g60,2026-04-27T12:29:24.396328Z,1024,85,-0.369140625,0.369140625,-1.0,3.692382116902956,5.5341796875,0.6826171875,229.712890625,0.3154296875,1110011000,8,-1.0,8,-1.0,-0.3021760286930475,-1,4.946773054405819,80.60127842080489,1100100101,0.1809518946358974,5.643040752065323,True,True,-0.0669645963069525,-1.2543909375028628,149.11161220419513,True,True
9,vqc_ibm_kingston_09,ibm_kingston,d7nlegu2jamc73bokk20,2026-04-27T12:32:03.123321Z,1024,135,-0.298828125,0.298828125,-1.0,5.1606892304900285,5.2041015625,0.724609375,71.923828125,0.3505859375,1010010011,9,-1.0,9,-1.0,-0.4707568717426401,-1,4.757055337789923,99.99756477123968,1100100101,0.2500068122958544,5.24689909672294,True,True,0.17192874674264008,0.4036338927001051,-28.07373664623968,True,True
10,vqc_ibm_kingston_10,ibm_kingston,d7nleo2k4prs73dse640,2026-04-27T12:32:32.586344Z,1024,118,0.296875,0.296875,1.0,5.06022621647415,4.5703125,0.787109375,69.04296875,0.6484375,1001110000,10,1.0,10,1.0,0.4425631436468679,1,4.751788110350122,89.03476465189638,1100111001,0.1578231730402821,4.562411567740907,True,True,-0.14568814364686788,0.30843810612402756,-19.99179590189638,True,True
